description,title,url,price,retailer_sku_code,instock,current_price,promo_data
"Produce of Japan <br/> 
Dole Apple Flavour Konjac Jelly <br/> 
日本Dole果冻 （苹果口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>",Dole Konjac Apple Flavour Jelly 6x22G,https://a4ucontent.blob.core.windows.net/images/0052022_0.png,1.99,127054,,1.99,
"3M Command<br/> 
Medium Wire Hook (Holds Up to 1.3kg)  2S",3M Command Med Wire Hook 2S 17068,https://a4ucontent.blob.core.windows.net/images/0044227_0.png,5.2,108506,,5.2,
"EESIN <br/>
Blue Gel Pen <br/>
<span style= ""color: gray""> 4S </span>",Eesin R1 Gel Pen 4S 4R1,https://a4ucontent.blob.core.windows.net/images/0044618_0.png,3.2,10863,,3.2,
"K-Y Jelly Lubricant <br/>
<span style=""color: grey;"">100G</span>",K-Y Jelly Lubricant 100G,https://a4ucontent.blob.core.windows.net/images/0051690_0.png,5.6,121371,,5.6,
Gas Lighter CS-2128 JP031 <br/>,Gas Lighter CS-2128 JP031,https://a4ucontent.blob.core.windows.net/images/0052744_0.png,3.9,112423,,3.9,
"Prevail <br/>
Extra Absorb(s) Adult <br/>
<span style=""color:gray""> 20-30"" (51-86cm) </span>","Prevail Ex ABSORB(S)ADULT20-30""(51-86CM)",https://a4ucontent.blob.core.windows.net/images/0042502_0.png,21.8,120918,,21.8,
"Pureen  <br/>
Feeding Bottle <br/>
Bottle colour depend on availability <br/> 
<span style= ""color: gray""> 8OZ </span>",Pureen Feeding Bottle 8OZ BFBF04,https://a4ucontent.blob.core.windows.net/images/0043501_0.png,3.05,86602,,3.05,
"Emmi <br/>
Blueberry Yoghurt <br/>
<span style= ""color: gray""> 100G </span>",Emmi Yoghurt Blueberry 100G,https://a4ucontent.blob.core.windows.net/images/0048254_0.png,1.1,84816,,1.1,3 for $2.50
"Khong Guan <br/>
Curry Chicken Tapioca Slice <br/>
<span style= ""color: gray"">2KG</span>",E-Curry Ckn Tapioca Slice 2KG (W/Tin),https://a4ucontent.blob.core.windows.net/images/0014195_0.png,22.85,118349,,22.85,
"Vegetable Cracker<br/>
<span style=""color: grey;"">400G</span>",Vegetable Cracker 400G,https://a4ucontent.blob.core.windows.net/images/0052643_0.png,1.45,15941,,1.45,
"Cap Orang Tua <br/>
Tou Cheong <br/>
<span style =""color:grey""> 400g </span>",Cap Orang Tua Tou Cheong 400G,https://a4ucontent.blob.core.windows.net/images/0003607_0.png,2.55,40859,,2.55,
"Young Sun<br/>
Frozen Soy Bean<br/><span style=""font-family: SimSun, SimHei, Serif;"">冷冻茶豆</span>",Young Sun Frozen Chamame 400G,https://a4ucontent.blob.core.windows.net/images/0050881_0.png,2.8,119753,,2.8,
"Fruit King <br/>
Longan In Syrup <br/>
<span style= ""color: gray""> 565 G </span>",Fruit King Longan IN Syrup 565G,https://a4ucontent.blob.core.windows.net/images/0047158_0.png,1.8,1923,,1.8,
"Sapporito <br/>
Spaghetti <br/>
<span style=""color:grey;"">500 g</span>",Saporito Spaghetti 500G,https://a4ucontent.blob.core.windows.net/images/0048719_0.png,1.9,79340,,1.9,2 for $3.40
"Bhd Buja<br/>
Makkoli Grape Korea Wine (ALC 9%)<br/>
<span style=""color: grey;"">375ML</span>",Bhd Buja Makkoli Grape 9% 375ML,https://a4ucontent.blob.core.windows.net/images/0051404_0.png,12.0,119933,,12.0,
"Fresh Roasted Duck (Whole) <br/> 
新鲜烤鸭(只) <br/> 
<small><span style= ""color: gray""> 2.2-2.4KG </span></small>",Roast Duck (Whole)(2.2-2.4KG),https://a4ucontent.blob.core.windows.net/images/0052223_0.png,20.8,127402,,20.8,
"Nature Valley <br/>
Apple Crisps Granola Bar <br/>
<span style= ""color: gray"">252G</span>",N/Valley Granola Bar Apple Crips 252G,https://a4ucontent.blob.core.windows.net/images/0045128_0.png,5.85,58236,,5.85,2 for $7.80
"Huiji Honey <br/>
<span style =""color:grey""> 1KG </span>",Huiji Honey 1KG,https://a4ucontent.blob.core.windows.net/images/0052023_0.png,9.95,1535,,9.95,2 for $16.95
"Sweet Home Farm <br/>
Honey Nut Almond Granola <br/>
<span style= ""color: gray"">682G</span>",SHF Granola H/Nut With Alm 682G,https://a4ucontent.blob.core.windows.net/images/0051989_0.png,7.8,57297,,7.8,
"Nestlé Milo<br/>
2-In-1 Calcium Enriched<br/>
<span style= ""color: gray"">12 x 30 g</span>",Nestle Milo 2N1 Cal Enriched 12SX30G,https://a4ucontent.blob.core.windows.net/images/0045131_0.png,7.3,120192,,7.3,
"Mission<br/>
Wraps Original<br/>
<span style= ""color: gray"">8S(360G)</span>",Mission Wraps Original 8S(360G),https://a4ucontent.blob.core.windows.net/images/0019991_0.png,5.4,59196,,5.4,
"Emborg<br/>
Whipping Cream<br/>
<span style= ""color: gray"">200ml</span>",Emborg Whipping Cream 200ML,https://a4ucontent.blob.core.windows.net/images/0003446_0.png,3.4,2099,,3.4,2 for $5.90
"Milkmaid<br/>
Full Cream<br/>
Sweetened Condensed Milk<br/>
<span style=""color:grey;"">392 g</span>",Milkmaid FC SCM 392G,https://a4ucontent.blob.core.windows.net/images/0004762_0.png,1.7,114367,,1.7,2 for $3.25
"Cowhead<br/>
Grated Natural Cheddar Cheese<br/>
<span style= ""color: gray"">250g</span>",Cowhead Grated Nat.Cheddar Cheese 250G,https://a4ucontent.blob.core.windows.net/images/0003525_0.png,4.95,86020,,4.95,
"Nutella <br/> 
<small><span style= ""color: gray""> 825G </span></small>",Nutella 825G,https://a4ucontent.blob.core.windows.net/images/0052415_0.png,9.9,126588,,9.9,
"IXL <br/>
Marmalade Breakfast Jam <br/>
<span style =""color:grey""> 500g </span>",IXL Marmalade Breakfast 500G(S),https://a4ucontent.blob.core.windows.net/images/0052660_0.png,4.95,56952,,4.95,
"Cowhead<br/>
Butter<br/>
<span style= ""color: gray"">250g</span>",Cowhead Butter 250G,https://a4ucontent.blob.core.windows.net/images/0003411_0.png,3.25,2066,,3.25,
"Fresh Eggs<br/>
<span style=""color: grey;"">10s</span>",Fresh Eggs 10S,https://a4ucontent.blob.core.windows.net/images/0042774_0.png,1.6,117519,,1.6,
"Meiji Paigen<br/>
Culture Milk (0% Fat)<br/>
<span style=""color: grey;"">160ML</span>",Meiji Paigen Culture Milk 160ML,https://a4ucontent.blob.core.windows.net/images/0051633_0.png,1.2,85862,,1.2,4 for $2.95
"Ma La Gao (马拉糕)<br/>
Steam Cake<br/>
<span style=""color: grey;"">285 g</span>",Steam Cake (Malagao) 258G,https://a4ucontent.blob.core.windows.net/images/0049753_0.png,1.9,14031,,1.9,
Top Baker Bun Chocolate 6S(270G),Top Baker Bun Choc 6S(270G),https://a4ucontent.blob.core.windows.net/images/0046968_0.png,1.1,58797,,1.1,
"<b><font size=""4"">HIGH 5</font></b>
<br><b>California Raisin Bread</b>
<br>
<br><b><span style=""color: grey;"">Net Weight: 400 g</span></b>",High 5 California Raisin Bread 400G,https://a4ucontent.blob.core.windows.net/images/0047411_0.png,2.7,124323,,2.7,
"Dacai <br/>
Braised Trotters<span style=""font-family: SimSun, SimHei, Serif;"">(卤猪脚)</span>
 <br/>
<span style =""color:grey""> 280g </span>",Dacai Braised Trotters 280G,https://a4ucontent.blob.core.windows.net/images/0051458_0.png,4.0,117019,,4.0,
"Product of Brazil <br/> 
Frozen Minced Meat <br/> 
巴西冰冻肉碎 <br/> 
<small><span style= ""color: gray""> 500G </span></small><br/><br/> 

Expiry: 1 year from packing date",Frozen Minced Meat 500G,https://a4ucontent.blob.core.windows.net/images/0052966_0.png,3.9,122065,,3.9,
"Fresh Bulan (Indonesia) Boneless Pork Chop <br/>
<span style=""font-family: SimSun, SimHei, Serif;"">印尼布兰去骨猪扒</span><br/>
<span style= ""color: grey""> 200 G - 250 G </span>",Ind Boneless Pork Chop (200-250G),https://a4ucontent.blob.core.windows.net/images/0051833_0.png,3.7,123110,,3.7,
"Jean Fresh <br/>
Frozen Scallop 80/100 <br/>
<small><span style= ""color: gray""> 550G </span></small>",JF Frozen Scallop 80/100 550G,https://a4ucontent.blob.core.windows.net/images/0048059_0.png,12.5,37660,,12.5,
"Live Mud Crab (Medium Size)<br/>
活泥蟹 （中型）
<span style=""color: grey;"">200G</span>",Live Mud Crab 200G,https://a4ucontent.blob.core.windows.net/images/0050811_0.png,5.25,115552,,5.25,
"Danpo<br/>
Frozen Chicken Thigh<br/>
<span style=""color:grey;"">2 kg</span>",Danpo IQF FRZ Ckn Thigh 2KG,https://a4ucontent.blob.core.windows.net/images/0052037_0.png,7.95,126881,,7.95,
"Chicken Gizzard <br/>
<span style =""color:grey""> 250g </span><br/><br/>

<small><span style= ""color: green"">This product is certified HALAL. </span></small>",Chicken Gizzard 250G,https://a4ucontent.blob.core.windows.net/images/0051454_0.png,1.75,32430,,1.75,
"Chicken Minced<br/>
Packet<br/>
<span style=""color:grey;"">180 g</span>
<br/>
<br/>
<small><i>Note: Packing Date: day before delivery date</i></small><br/><br/><br/>

<small><span style= ""color: green"">This product is certified HALAL. </span></small>",Chicken Minced (PKT)180G,https://a4ucontent.blob.core.windows.net/images/0043273_0.png,2.0,32515,,2.0,
"Singourmet <br/>
Lamb Shoulder Chop <br/>
<small><span style= ""color: gray""> 500g </span></small><br/><br/>

<small><span style= ""color: green"">This product is certified HALAL. </span></small>",Singourmet Lamb Shoulder Chop 500G,https://a4ucontent.blob.core.windows.net/images/0052571_0.png,7.85,31595,,7.85,
"Jean Fresh<br/>
Chilled Minced Beef<br/>
牛肉馅<br/>
<span style=""color:grey;"">220 g</span><br/><br/>

<small><span style= ""color: green"">This product is certified HALAL. </span></small>",JF Chill Minced Beef 220G,https://a4ucontent.blob.core.windows.net/images/0043277_0.png,3.6,86059,,3.6,
"Juz-Plus<br/>
New Zealand Kiwi Fruit Drink <br/>
<span style=""color:gray"">300ML</span>",Juz-Plus N/Zealand Kiwi 300ML,https://a4ucontent.blob.core.windows.net/images/0051653_0.png,0.75,122124,,0.75,24 for $16.00
"Ice Cool<br/>
Booster Energy Drink<br/>
<span style=""color: grey;"">250ML</span>",I/Cool Booster Energy DRINK(G/C)250ML,https://a4ucontent.blob.core.windows.net/images/0051437_0.png,0.65,124854,,0.65,3 for $1.65
"Ribena<br/>
Glucose Cordial<br/>
<span style=""color: grey;"">2L</span>",Ribena Glucose Cordial 2L,https://a4ucontent.blob.core.windows.net/images/0050893_0.png,11.8,123693,,11.8,
"TS  Luohan Guo <br/>
American Ginseng & Chrysanthemum Tea <br/>
<span style =""color:grey;""> 500ML </span>",TS Luohan A/Ginseng&C'themum 500ML,https://a4ucontent.blob.core.windows.net/images/0048263_0.png,2.0,85572,,2.0,
"7-UP <br/>
<span style= ""color: gray""> 330 ml </span></style>",7UP 330ML,https://a4ucontent.blob.core.windows.net/images/0046302_0.png,0.6,49797,,0.6,4 for $1.95
"DEWAR'S<br/>
White Label (ALC40%)<br/>
<span style=""color: grey;"">200ML</span>",DEWAR'S White Label ALC40% 200ML,https://a4ucontent.blob.core.windows.net/images/0051768_0.png,15.5,75831,,15.5,
"Yeo's <br/>
Soya Bean Milk <br/>
<span style= ""color: gray""> 1L </span>",YEO'S Soya Milk 1L,https://a4ucontent.blob.core.windows.net/images/0051367_0.png,0.9,50067,,0.9,12 for $10.80
"Mandarin Duck<br/>
Moscato White Wine (ALC 8%)<br/>
Product Of Australia<br/>
<span style=""color: grey;"">750ML</span>",Mandarin Duck Moscato Ww ALC7.5% 750ML,https://a4ucontent.blob.core.windows.net/images/0051409_0.png,18.5,115855,,18.5,2 for $35.50
"Allswell<br/>
Golden Pear With Aloe Vera<br/>
<span style=""color: grey;"">1L</span>",Allswell Golden Pear W Aloe Vera 1000ML,https://a4ucontent.blob.core.windows.net/images/0051388_0.png,2.1,124322,,2.1,
"Yeo's <br/>
Coconut Juice <br/>
<span style= ""color: gray"">300 ml</span></style>",YEO'S Coconut Juice 300ML,https://a4ucontent.blob.core.windows.net/images/0046417_0.png,0.8,53022,,0.8,24 for $16.20
"Le Montalus<br/>
Côtes de Thau IGP<br/>
Merlot (60%) & Syrah (40%)<br/>
Produce of France<br/>
<span style=""color: grey;"">750 ml</span>
<br/><br/>
<small><i>Alcohol is not for sale to people under the age of 18</i></small>",Le Montalus OC Rouge 75CL,https://a4ucontent.blob.core.windows.net/images/0050948_0.png,18.5,125885,,18.5,
"Nestle Milo<br/>
Ready-to-Drink Packet<br/>
<span style=""color:grey;"">(6 + 2) x 200 ml</span>",Nestle Milo RTD 6+2X200ML,https://a4ucontent.blob.core.windows.net/images/0052972_0.png,4.25,127594,,4.25,
,Nestle Milo Activgo Ref 900G+225G,https://a4ucontent.blob.core.windows.net/images/0052947_0.png,8.45,128215,,8.45,
"Kronenbourg<br/>
1664 Beer ( ALC 5%)<br/>
<span style= ""color: gray""> 330ML </span>",Kronenbourg 1664 Lager ALC5% 330ML,https://a4ucontent.blob.core.windows.net/images/0051659_0.png,4.55,77559,,4.55,6 for $25.35
"<b><font size=""4"">Aik Cheong</font></b>
<br><b>Instant Tea Tarik</b>
<br>
<br><b><span style=""color: grey;""><i>Net Wt: 40G x 15S</i></span></b>",Aik Cheong Instant Tea Tarik 15X40G,https://a4ucontent.blob.core.windows.net/images/0011702_0.png,5.95,52747,,5.95,
"<b><font size=""4"">SUPER</font></b>
<br><b>ESSENSO&#0153; MICROGROUND 2in1 COFFEE</b>
<br>
<br><b><span style=""color: grey;""><i>Net Wt: 400g, 16g x 25 sticks</i></span></b>

<br><br><ul>
  <li><b>2in1 (Coffee & Creamer)</b></li>
  <li>100% Arabica Coffee Beans</li>
  <li>Deep Aroma, Rich Tasting & Fuller Body</li>
</ul>",Essenso Microground Coffee 2in1 25X16G,https://a4ucontent.blob.core.windows.net/images/0052895_0.png,6.45,126345,,6.45,
Tiger Radler M/Orange ALC2% 323ML,Tiger Radler M/Orange ALC2% 323ML,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,2.95,127495,,2.95,6 for $15.90
"4-10<br/>
Cooling Water<br/>
<span style=""color:grey;"">200 ml</span>",4-10 Cooling Water 200ML,https://a4ucontent.blob.core.windows.net/images/0051331_0.png,0.5,52604,,0.5,
"Happy Family <br/>
Rice Vermicelli <br/>
<span style=""color: grey"">400 g</span>",H/Family Rice Vermicelli 400G,https://a4ucontent.blob.core.windows.net/images/0048394_0.png,1.1,1887,,1.1,
"Wahaha <br/>
Mixed Congee Guiyuan Lian Zi<br/>
<span style= ""color: gray""> 360 G </span>",Wahaha Mixed Congee Guiyuan Lian Zi 360G,https://a4ucontent.blob.core.windows.net/images/0047191_0.png,1.8,80947,,1.8,
"Cooksi <br/>
Non Spicy Seafood Rice Noodle <br/>
<span style =""color:grey;""> 92G </span>",Cooksi Non Spicy Seafood Rice Noodle 92G,https://a4ucontent.blob.core.windows.net/images/0048203_0.png,1.5,119941,,1.5,
"Happy Family<br/>
Easi-Cook Instant Noodles<br/>
<span style= ""color: gray"">700G</span>",H/Family Easi-Cook Instant Noodles 700G,https://a4ucontent.blob.core.windows.net/images/0049401_0.png,2.1,114438,,2.1,
"Dried Purple Sweet Potato Noodles<br/>
<span style =""color:grey""> 350G</span>",D/Purple Sweet Potato Noodles 350G,https://a4ucontent.blob.core.windows.net/images/0052808_0.png,1.55,118465,,1.55,
"Jingqian Pai G/Orange Oil <br/>
<span style =""color:grey""> 400ml </span>",Jingqian Pai G/Orange Oil 400ML,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,1.7,3936,,1.7,
"LAU BOON HENG <br/>
Hor Fun 
<span style=""font-family: SimSun, SimHei, Serif;"">(河粉)</span>
<br/>
<span style =""color:grey""> 1/2 KG </span>",Hor Fun 1/2KG,https://a4ucontent.blob.core.windows.net/images/0052613_0.png,0.95,85002,,0.95,
"Oki <br/>
Premium Soyabean Oil <br/>
<span style= ""color: gray"">3L</span>",Oki Premium Soyabean Oil 2L,https://a4ucontent.blob.core.windows.net/images/0007375_0.png,5.95,7756,,5.95,
"Sailing Boat <br/>
Vegetable Oil <br/>
<span style =""color:grey""> 500ML</span>",Sailing Boat Oil 500ML,https://a4ucontent.blob.core.windows.net/images/0051765_0.png,1.8,125426,,1.8,
"Natural<br/>
Organic Olive Oil<br/>
<span style =""color:grey"">500 ml</span>",Natural Organic Olive Oil 500ML,https://a4ucontent.blob.core.windows.net/images/0007142_0.png,11.9,4925,,11.9,
"<b><font size=""4"">VECORN</font></b>
<br><b>Pure Corn Oil</b>
<br>
<br><b><span style=""color: grey;"">5 Litres</span></b>",Vecorn Pure Corn Oil 5L,https://a4ucontent.blob.core.windows.net/images/0007328_0.png,16.9,7135,,16.9,
"Kangaroo Low Gi Rice<br/>
<span style=""color: grey;"">2KG</span>",Kangaroo Low Gi Rice 2KG,https://a4ucontent.blob.core.windows.net/images/0052559_0.png,10.9,126545,,10.9,
"Happy Family <br/>
Premium Short Grain Rice <br/>
<span style= ""color: gray""> 5KG </span>",H/Family Premium Short Grain Rice 5KG,https://a4ucontent.blob.core.windows.net/images/0049406_0.png,10.8,116877,,10.8,
"R1 Happy Family<br/>
Black Glutinous Rice<br/>
<span style= ""color: gray""> 400G </span>",R1 Black Glutinous Rice 400G(N),https://a4ucontent.blob.core.windows.net/images/0010559_0.png,2.65,7080,,2.65,
